,City,Country,Date,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
0,Kapaa,US,1535583360.0,22.08,-159.32,83.53,77.0,40.0,16.11
1,Ribeira Grande,PT,1535586020.0,38.52,-28.7,76.21,97.0,88.0,16.15
2,Thompson,CA,1535583600.0,55.74,-97.86,59.0,54.0,75.0,8.05
3,Necochea,AR,1535586311.0,-38.55,-58.74,50.47,81.0,0.0,10.11
4,Cape Town,ZA,1535583600.0,-33.93,18.42,53.6,93.0,0.0,8.05
5,Hithadhoo,MV,1535586007.0,-0.6,73.08,83.05,100.0,64.0,7.65
6,Rikitea,PF,1535586127.0,-23.12,-134.97,75.22,96.0,0.0,16.49
7,Hilo,US,1535583360.0,19.71,-155.08,74.84,69.0,75.0,9.17
8,Busselton,AU,1535586119.0,-33.64,115.35,56.95,100.0,76.0,21.63
9,Grand Gaube,MU,1535583600.0,-20.01,57.66,64.4,77.0,20.0,12.46
10,Senanga,ZM,1535586253.0,-16.1,23.3,63.52,41.0,0.0,8.99
11,Hongjiang,CN,1535586312.0,27.21,109.83,76.3,91.0,76.0,2.95
12,Norman Wells,CA,1535583600.0,65.28,-126.83,51.8,62.0,75.0,4.7
13,Fundao,BR,1535583600.0,-19.93,-40.4,73.4,83.0,75.0,5.82
14,Ambulu,ID,1535585994.0,-8.35,113.61,73.6,100.0,100.0,4.29
15,Talnakh,RU,1535586024.0,69.49,88.39,39.67,95.0,76.0,14.36
16,Ahipara,NZ,1535585953.0,-35.17,173.16,58.84,84.0,0.0,6.2
17,Paita,PE,1535583600.0,-5.09,-81.11,78.8,78.0,75.0,6.93
18,Teya,MX,1535582880.0,21.05,-89.07,84.2,70.0,75.0,9.17
19,Muros,ES,1535583600.0,42.77,-9.06,57.2,93.0,20.0,9.17
20,Ponta do Sol,BR,1535586314.0,-20.63,-46.0,66.67,61.0,56.0,7.2
21,Hermanus,ZA,1535586114.0,-34.42,19.24,39.85,97.0,36.0,3.96
22,Tahara,JP,1535583600.0,34.64,137.18,84.2,74.0,40.0,3.36
23,Margate,AU,1535583600.0,-43.03,147.26,41.0,80.0,20.0,10.29
24,Makakilo City,US,1535583420.0,21.35,-158.09,84.69,55.0,20.0,14.99
25,Fortuna Foothills,US,1535583420.0,32.66,-114.41,102.92,13.0,20.0,6.93
26,Ayia Marina,GR,1535583000.0,37.75,23.53,78.8,44.0,0.0,4.7
27,Mataura,NZ,1535586316.0,-46.19,168.86,51.46,95.0,32.0,5.53
28,Atuona,PF,1535586316.0,-9.8,-139.03,79.18,100.0,0.0,14.03
29,Ushuaia,AR,1535583600.0,-54.81,-68.31,30.2,80.0,90.0,23.04
30,Puerto Ayora,EC,1535583600.0,-0.74,-90.35,75.2,64.0,40.0,17.22
31,Fort Nelson,CA,1535583600.0,58.81,-122.69,53.6,87.0,90.0,10.29
32,Greenfield,US,1535583360.0,42.59,-72.6,86.58,59.0,1.0,6.93
33,Qaanaaq,GL,1535585943.0,77.48,-69.36,32.74,100.0,20.0,2.73
34,San Patricio,PY,1535585962.0,-26.98,-56.83,83.14,41.0,8.0,6.64
35,Souillac,FR,1535583600.0,45.6,-0.6,58.21,87.0,0.0,4.7
36,Adrar,DZ,1535583600.0,27.87,-0.29,95.0,12.0,0.0,17.22
37,Port Elizabeth,US,1535583360.0,39.31,-74.98,89.35,65.0,1.0,3.36
38,Kavieng,PG,1535586006.0,-2.57,150.8,84.04,100.0,76.0,7.31
39,San Jeronimo,PE,1535586318.0,-13.65,-73.37,42.55,44.0,0.0,1.95
40,Konstantinovka,MD,1535586319.0,47.99,28.86,59.65,85.0,0.0,7.87
41,Luanda,AO,1535583600.0,-8.83,13.24,69.8,88.0,40.0,2.24
42,Saurimo,AO,1535586319.0,-9.66,20.4,62.35,41.0,0.0,6.08
43,Tasiilaq,GL,1535583000.0,65.61,-37.64,42.8,70.0,92.0,19.46
44,Georgetown,GY,1535583600.0,6.8,-58.16,78.8,88.0,20.0,4.7
45,Kharagauli,GE,1535585400.0,42.01,43.2,71.6,100.0,75.0,8.05
46,Yellowknife,CA,1535583600.0,62.45,-114.38,57.2,62.0,40.0,8.05
47,Bethel,US,1535583180.0,60.79,-161.76,55.04,83.0,90.0,8.05
48,Hualmay,PE,1535585991.0,-11.1,-77.61,58.48,93.0,32.0,5.08
49,Gigmoto,PH,1535586321.0,13.78,124.39,83.14,99.0,0.0,3.74
50,Kodiak,US,1535583180.0,39.95,-94.76,78.08,57.0,1.0,8.05
51,East London,ZA,1535585933.0,-33.02,27.91,68.38,99.0,0.0,12.8
52,Tabasalu,EE,1535583000.0,59.43,24.54,62.6,77.0,75.0,8.05
53,Lasa,CY,1535583600.0,34.92,32.53,76.23,73.0,40.0,2.24
54,Arlit,NE,1535585985.0,18.74,7.39,74.95,76.0,92.0,6.2
55,Saint George,GR,1535583000.0,39.45,22.34,69.8,64.0,0.0,4.7
56,Avarua,CK,1535583600.0,-21.21,-159.78,75.2,47.0,40.0,17.22
57,Komsomolskiy,RU,1535586107.0,67.55,63.78,42.19,82.0,64.0,8.55
58,Pisco,PE,1535583600.0,-13.71,-76.2,71.6,30.0,75.0,11.41
59,Chuy,UY,1535585979.0,-33.69,-53.46,63.34,94.0,92.0,10.33
60,Denpasar,ID,1535583600.0,-8.65,115.22,73.4,88.0,20.0,4.7
61,Arraial do Cabo,BR,1535586150.0,-22.97,-42.02,70.18,92.0,0.0,15.14
62,Namatanai,PG,1535586324.0,-3.66,152.44,83.77,97.0,56.0,9.22
63,Cidreira,BR,1535585987.0,-30.17,-50.22,60.82,94.0,20.0,7.76
64,Butaritari,KI,1535586119.0,3.07,172.79,84.04,100.0,0.0,2.95
65,Vaini,IN,1535586325.0,15.34,74.49,69.28,98.0,92.0,5.75
66,Lorengau,PG,1535586027.0,-2.02,147.27,78.64,100.0,56.0,2.73
67,Gladstone,AU,1535586325.0,-23.84,151.26,68.02,61.0,0.0,4.97
68,Albany,US,1535583240.0,42.65,-73.75,87.04,46.0,20.0,10.29
69,Susangerd,IR,1535583600.0,31.56,48.19,87.8,18.0,0.0,2.73
70,Pacific Grove,US,1535585700.0,36.62,-121.92,71.35,49.0,1.0,13.87
71,Saint-Marc-des-Carrieres,CA,1535585580.0,46.68,-72.05,64.4,93.0,90.0,3.36
72,Guerrero Negro,MX,1535586014.0,27.97,-114.04,81.25,57.0,0.0,10.0
73,Mnogovershinnyy,RU,1535586327.0,53.94,139.92,55.87,91.0,92.0,6.2
74,Ghanzi,BW,1535586327.0,-21.7,21.65,56.14,37.0,0.0,11.45
75,Saint-Philippe,CA,1535584500.0,45.36,-73.48,78.33,74.0,20.0,10.29
76,Iqaluit,CA,1535583600.0,63.75,-68.52,42.8,75.0,75.0,18.34
77,Port Alfred,ZA,1535586106.0,-33.59,26.89,61.18,94.0,0.0,5.75
78,Tarko-Sale,RU,1535586328.0,64.92,77.78,45.7,94.0,12.0,11.45
79,Zabol,IR,1535586328.0,31.03,61.49,81.61,46.0,0.0,31.14
80,Kaitangata,NZ,1535586329.0,-46.28,169.85,52.45,85.0,0.0,10.0
81,Constitucion,MX,1535582700.0,23.99,-104.67,69.8,60.0,75.0,8.05
82,Bluff,AU,1535586329.0,-23.58,149.07,67.48,28.0,0.0,4.41
83,Sohag,EG,1535586385.0,26.55,31.7,71.98,58.0,0.0,4.41
84,Luderitz,NA,1535586007.0,-26.65,15.16,58.3,61.0,0.0,2.28
85,Punta Arenas,CL,1535583600.0,-53.16,-70.91,35.6,69.0,40.0,16.11
86,Phuthaditjhaba,ZA,1535586331.0,-28.53,28.82,22.3,64.0,0.0,2.17
87,Fortuna,ES,1535583600.0,38.18,-1.13,78.8,78.0,20.0,5.82
88,State College,US,1535583240.0,40.79,-77.86,83.53,54.0,40.0,6.93
89,Dikson,RU,1535586332.0,73.51,80.55,41.11,100.0,24.0,25.43
90,Los Llanos de Aridane,ES,1535583600.0,28.66,-17.92,75.2,64.0,0.0,18.34
91,Vallenar,CL,1535586332.0,-28.58,-70.76,50.29,77.0,0.0,2.28
92,Avera,US,1535585700.0,33.19,-82.53,88.2,59.0,75.0,3.36
93,Tiksi,RU,1535586024.0,71.64,128.87,58.03,79.0,24.0,12.01
94,Neiafu,TO,1535583600.0,-18.65,-173.98,78.8,65.0,20.0,17.22
95,Kedrovyy,RU,1535583600.0,56.17,91.82,46.4,100.0,0.0,2.24
96,Esfarayen,IR,1535583600.0,37.08,57.51,66.2,37.0,0.0,6.93
97,Katsuura,JP,1535583600.0,33.93,134.5,80.6,78.0,40.0,2.24
98,Jamestown,AU,1535585932.0,-33.21,138.6,65.77,22.0,92.0,27.34
99,Torbay,CA,1535583600.0,47.66,-52.73,55.4,87.0,90.0,10.29
100,Menongue,AO,1535585976.0,-14.66,17.68,59.47,35.0,0.0,5.19
101,Upernavik,GL,1535586334.0,72.79,-56.15,37.24,100.0,56.0,20.85
102,Whitehaven,US,1535585220.0,35.03,-90.03,78.08,100.0,40.0,10.29
103,Saldanha,PT,1535585963.0,41.42,-6.55,59.47,77.0,0.0,1.72
104,Pasighat,IN,1535586335.0,28.06,95.33,68.92,95.0,56.0,1.28
105,Pentecoste,BR,1535586336.0,-3.8,-39.27,79.54,74.0,0.0,14.7
106,Smithers,CA,1535583600.0,54.78,-127.17,62.6,48.0,75.0,16.11
107,Putina,PE,1535583600.0,-14.91,-69.87,55.4,32.0,75.0,9.17
108,Cherskiy,RU,1535585969.0,68.75,161.3,52.0,67.0,8.0,4.63
109,Hofn,IS,1535585985.0,64.25,-15.21,43.45,100.0,56.0,4.63
110,Pevek,RU,1535585961.0,69.7,170.27,45.88,97.0,88.0,4.97
111,Baykit,RU,1535585996.0,61.68,96.39,51.46,95.0,80.0,3.96
112,Pimenta Bueno,BR,1535586337.0,-11.68,-61.19,79.72,64.0,56.0,1.72
113,Tuktoyaktuk,CA,1535583600.0,69.44,-133.03,46.4,70.0,75.0,8.05
114,Samarai,PG,1535586338.0,-10.62,150.67,77.47,100.0,92.0,19.84
115,Umm Kaddadah,SD,1535586338.0,13.6,26.69,75.94,51.0,36.0,3.51
116,Tupelo,US,1535583180.0,34.26,-88.7,89.96,48.0,1.0,4.7
117,Airai,TL,1535586005.0,-8.93,125.41,73.78,64.0,0.0,2.17
118,Paamiut,GL,1535586339.0,61.99,-49.67,42.1,98.0,92.0,18.05
119,Te Anau,NZ,1535586033.0,-45.41,167.72,46.96,92.0,0.0,3.51
120,Vilhena,BR,1535583600.0,-12.74,-60.15,75.2,73.0,0.0,4.7
121,Saint-Augustin,FR,1535583600.0,44.83,-0.61,59.0,82.0,0.0,3.36
122,Jiuquan,CN,1535586340.0,39.73,98.49,56.05,81.0,64.0,2.39
123,Nefteyugansk,RU,1535583600.0,61.09,72.61,55.4,100.0,40.0,13.42
124,Hue,VN,1535585400.0,16.47,107.58,80.6,78.0,40.0,3.36
125,Waipawa,NZ,1535586019.0,-39.94,176.59,56.05,80.0,88.0,6.98
126,Barrow,AR,1535586111.0,-38.31,-60.23,49.84,72.0,0.0,10.78
127,Kutum,SD,1535585955.0,14.2,24.66,73.24,31.0,12.0,7.2
128,Nikolskoye,RU,1535583600.0,59.7,30.79,59.0,93.0,90.0,8.95
129,Linxia,CN,1535586342.0,35.6,103.21,56.68,99.0,92.0,3.4
130,Baturaja,ID,1535586342.0,-4.12,104.17,73.96,86.0,0.0,3.62
131,Omsukchan,RU,1535586342.0,62.53,155.8,48.85,56.0,0.0,3.62
132,Dingle,PH,1535586343.0,11.0,122.67,81.52,85.0,8.0,3.62
133,Lavrentiya,RU,1535585947.0,65.58,-170.99,44.17,99.0,56.0,10.45
134,New Norfolk,AU,1535583600.0,-42.78,147.06,41.0,80.0,20.0,10.29
135,Chunoyar,RU,1535586344.0,57.45,97.32,54.07,86.0,76.0,2.39
136,Goundam,ML,1535586216.0,16.42,-3.66,81.79,78.0,24.0,3.29
137,Sorland,NO,1535586344.0,67.67,12.69,55.42,94.0,92.0,19.06
138,Petropavlovsk-Kamchatskiy,RU,1535583600.0,53.05,158.65,55.4,54.0,0.0,8.95
139,Thornbury,GB,1535583360.0,51.61,-2.53,52.32,81.0,75.0,3.36
140,Bambous Virieux,MU,1535583600.0,-20.34,57.76,64.4,77.0,20.0,6.87
141,Hangu,PK,1535585400.0,33.53,71.06,84.2,74.0,20.0,4.74
142,Harper,US,1535584500.0,30.3,-99.24,96.19,26.0,1.0,5.82
143,Vagamo,NO,1535586157.0,61.88,9.1,43.54,93.0,88.0,1.83
144,Pechenga,RU,1535586346.0,58.89,41.46,63.25,73.0,44.0,10.89
145,Khatanga,RU,1535585958.0,71.98,102.47,49.12,85.0,64.0,13.47
146,Sinor,IN,1535586346.0,21.91,73.34,74.32,99.0,92.0,5.41
147,Vardo,US,1535584500.0,39.62,-77.74,86.58,50.0,1.0,11.41
148,Vanavara,RU,1535586347.0,60.35,102.28,57.85,73.0,36.0,4.18
149,Paramonga,PE,1535586347.0,-10.68,-77.82,60.73,100.0,80.0,12.24
150,Nome,US,1535584500.0,30.04,-94.42,84.36,61.0,1.0,6.93
151,Guanica,PR,1535583000.0,17.97,-66.91,80.6,78.0,75.0,19.46
152,Poum,MK,1535586348.0,41.28,20.71,56.68,85.0,12.0,1.39
153,Flinders,AU,1535583600.0,-34.58,150.85,51.8,53.0,0.0,8.05
154,Hobart,AU,1535583600.0,-42.88,147.33,41.0,80.0,20.0,10.29
155,Jayuya,PR,1535583360.0,18.22,-66.59,81.68,81.0,75.0,18.34
156,Hukay,PH,1535586349.0,13.86,120.69,81.25,100.0,0.0,3.96
157,College,US,1535585220.0,64.86,-147.8,55.15,58.0,90.0,6.93
158,Berdigestyakh,RU,1535586350.0,62.1,126.7,60.28,87.0,36.0,3.74
159,Tromso,NO,1535583000.0,69.65,18.96,57.2,76.0,75.0,38.03
160,Broome,GB,1535583360.0,52.47,1.45,53.29,100.0,0.0,5.82
161,Severo-Kurilsk,RU,1535586350.0,50.68,156.12,53.17,91.0,44.0,5.97
162,Akhisar,TR,1535586351.0,38.92,27.84,71.35,57.0,0.0,5.97
163,Nelson Bay,AU,1535583600.0,-32.72,152.14,50.0,66.0,0.0,12.75
164,Asyut,EG,1535583600.0,27.18,31.19,78.8,47.0,0.0,14.99
165,Hastings,NZ,1535586352.0,-39.64,176.84,52.99,100.0,92.0,4.97
166,Ulaanbaatar,MN,1535585400.0,47.92,106.92,51.8,87.0,75.0,2.24
167,Gravelbourg,CA,1535586353.0,49.88,-106.56,74.14,42.0,8.0,13.47
168,Victoria,BN,1535583600.0,5.28,115.24,77.77,88.0,75.0,5.53
169,The Valley,AI,1535583600.0,18.22,-63.06,80.67,83.0,20.0,11.41
170,Kavaratti,IN,1535586251.0,10.57,72.64,77.65,100.0,76.0,14.47
171,Leningradskiy,RU,1535586354.0,69.38,178.42,37.24,100.0,92.0,6.76
172,Mar del Plata,AR,1535586354.0,-46.43,-67.52,44.8,50.0,0.0,16.15
173,Aras,YE,1535586214.0,14.28,44.38,61.54,44.0,76.0,0.6
174,Port Hardy,CA,1535583720.0,50.7,-127.42,59.0,93.0,75.0,3.36
175,Tobane,BW,1535586354.0,-21.91,28.04,53.44,68.0,0.0,7.99
176,Khandyga,RU,1535586355.0,62.65,135.58,58.93,84.0,80.0,2.73
177,Vrangel,RU,1535586355.0,42.73,133.08,64.87,95.0,92.0,18.28
178,Bredasdorp,ZA,1535583600.0,-34.53,20.04,57.2,82.0,92.0,6.93
179,Faanui,PF,1535585949.0,-16.48,-151.75,76.66,100.0,92.0,23.53
180,San Jose,PH,1535585901.0,15.79,120.99,76.66,95.0,32.0,1.16
181,Portland,US,1535583180.0,45.52,-122.67,83.71,30.0,75.0,6.93
182,Esperance,TT,1535583600.0,10.24,-61.45,82.4,83.0,20.0,6.93
183,Dudhani,IN,1535586357.0,17.36,76.37,69.37,97.0,76.0,6.76
184,Pouembout,NC,1535586357.0,-21.12,164.9,68.29,82.0,0.0,6.53
185,Kamphaeng Phet,TH,1535586357.0,16.47,99.53,72.52,100.0,92.0,5.75
186,Hambantota,LK,1535585978.0,6.12,81.12,78.46,100.0,24.0,14.25
187,Skaudvile,LT,1535586358.0,55.42,22.62,53.35,90.0,0.0,2.62
188,Chokurdakh,RU,1535586055.0,70.62,147.9,58.57,63.0,0.0,7.65
189,Mandello del Lario,IT,1535584800.0,45.92,9.32,68.07,82.0,0.0,1.12
190,Castro,CL,1535586359.0,-42.48,-73.76,42.28,85.0,0.0,8.66
191,Sparks,US,1535584500.0,39.53,-119.75,83.7,18.0,1.0,17.22
192,Plouzane,FR,1535583600.0,48.38,-4.62,51.85,100.0,0.0,2.24
193,Kungurtug,RU,1535586359.0,50.6,97.53,44.89,94.0,92.0,2.39
194,Ripoll,ES,1535583600.0,42.2,2.19,68.0,100.0,20.0,2.24
195,Bandarbeyla,SO,1535586360.0,9.49,50.81,73.42,82.0,88.0,27.89
196,Saskylakh,RU,1535586360.0,71.97,114.09,59.56,89.0,0.0,15.37
197,Coihaique,CL,1535583600.0,-45.58,-72.07,37.18,64.0,20.0,4.7
198,Itoman,JP,1535585400.0,26.12,127.67,82.62,74.0,20.0,5.82
199,Rengo,CL,1535583600.0,-34.41,-70.86,51.8,87.0,92.0,1.12
200,Belyy Yar,RU,1535583600.0,53.6,91.39,57.2,93.0,40.0,2.73
201,Nuuk,GL,1535583000.0,64.17,-51.74,41.0,93.0,75.0,2.24
202,Wanaka,NZ,1535586362.0,-44.7,169.14,43.45,76.0,8.0,2.51
203,Mount Gambier,AU,1535586363.0,-37.83,140.78,50.92,93.0,56.0,10.78
204,Padang,ID,1535586363.0,-0.92,100.36,80.62,100.0,8.0,3.74
205,Bontang,ID,1535586074.0,0.12,117.47,78.82,100.0,68.0,6.64
206,Byron Bay,AU,1535583600.0,-28.65,153.62,64.4,52.0,0.0,10.29
207,Ilulissat,GL,1535583000.0,69.22,-51.1,37.4,69.0,36.0,6.93
208,Zaysan,KZ,1535586364.0,47.47,84.87,42.46,85.0,0.0,2.62
209,Alofi,NU,1535583600.0,-19.06,-169.92,77.0,61.0,12.0,18.34
210,Comodoro Rivadavia,AR,1535583600.0,-45.87,-67.48,48.2,49.0,20.0,6.93
211,Baijiantan,CN,1535586365.0,45.63,85.18,62.62,65.0,0.0,6.42
212,Shuangcheng,CN,1535583600.0,45.37,126.3,64.4,93.0,75.0,6.71
213,Berlevag,NO,1535586072.0,70.86,29.09,56.14,74.0,12.0,15.26
214,Obama,JP,1535586366.0,35.49,135.74,80.44,83.0,32.0,5.75
215,Matara,PE,1535586209.0,-13.74,-72.9,42.55,44.0,0.0,1.95
216,Lompoc,US,1535583360.0,34.64,-120.46,75.25,49.0,1.0,17.22
217,Neuquen,AR,1535583600.0,-38.95,-68.06,53.6,66.0,75.0,2.24
218,San Carlos,VE,1535586367.0,9.66,-68.59,78.55,78.0,12.0,3.96
219,Flin Flon,CA,1535583600.0,54.77,-101.88,62.6,63.0,90.0,10.29
220,Knysna,ZA,1535583600.0,-34.04,23.05,55.4,87.0,88.0,5.82
221,Carnarvon,ZA,1535586129.0,-30.97,22.13,34.9,57.0,0.0,5.75
222,Weligama,LK,1535586368.0,5.97,80.42,76.39,99.0,64.0,9.66
223,Cauquenes,CL,1535586368.0,-35.97,-72.32,48.04,100.0,92.0,2.17
224,Jardim,BR,1535586368.0,-21.48,-56.15,79.9,44.0,0.0,8.1
225,Buraydah,SA,1535583600.0,26.33,43.97,86.0,30.0,0.0,3.36
226,Benjamin Constant,BR,1535583600.0,-4.38,-70.03,77.0,73.0,20.0,4.7
227,Tura,IN,1535586053.0,25.52,90.21,75.4,99.0,76.0,2.95
228,Husavik,CA,1535586370.0,50.56,-96.99,65.86,78.0,0.0,8.21
229,Bajil,ES,1535586370.0,38.23,-2.07,59.65,94.0,0.0,2.62
230,Tuban,ID,1535586370.0,-6.9,112.07,74.68,82.0,32.0,5.64
231,Tabou,CI,1535586371.0,4.42,-7.36,78.01,100.0,92.0,8.99
232,Kiryas Joel,US,1535583360.0,41.34,-74.17,87.35,65.0,1.0,8.05
233,Ostrovnoy,RU,1535586035.0,68.05,39.51,44.89,90.0,0.0,11.34
234,Narsaq,GL,1535583000.0,60.91,-46.05,46.4,61.0,92.0,33.33
235,Sao Filipe,CV,1535585960.0,14.9,-24.5,78.46,100.0,88.0,5.41
236,Marzuq,YE,1535586036.0,14.4,46.47,69.82,61.0,68.0,2.95
237,Qasigiannguit,GL,1535583000.0,68.82,-51.19,37.4,69.0,36.0,6.93
238,Hami,CN,1535586372.0,42.84,93.51,67.84,61.0,32.0,1.61
239,Carauari,BR,1535585791.0,-4.88,-66.9,73.42,93.0,8.0,2.84
240,Tuatapere,NZ,1535586054.0,-46.13,167.69,48.04,100.0,88.0,4.29
241,Mehamn,NO,1535586038.0,71.03,27.85,56.05,74.0,12.0,15.48
242,Ponta Delgada,PT,1535583600.0,37.73,-25.67,73.4,88.0,40.0,9.17
243,Provideniya,RU,1535583600.0,64.42,-173.23,46.4,75.0,90.0,15.66
244,Tanout,NE,1535586373.0,14.97,8.88,73.6,91.0,0.0,6.76
245,Brae,GB,1535583000.0,60.4,-1.35,52.84,76.0,92.0,14.99
246,Mahebourg,MU,1535583600.0,-20.41,57.7,64.4,77.0,20.0,6.87
247,Oranjemund,ZA,1535586374.0,-28.55,16.43,57.22,93.0,0.0,8.99
248,Bani,PH,1535586375.0,15.89,120.27,79.18,98.0,24.0,3.74
249,Amuntai,ID,1535586375.0,-2.42,115.25,73.24,98.0,76.0,2.84
250,Renqiu,CN,1535586375.0,38.71,116.1,74.68,75.0,88.0,4.63
251,Touros,BR,1535586180.0,-5.2,-35.46,76.75,76.0,0.0,18.05
252,Hanting,CN,1535586376.0,30.92,118.55,84.13,78.0,0.0,5.97
253,Prado,BR,1535586376.0,-17.34,-39.22,76.84,94.0,48.0,16.26
254,Sungaipenuh,ID,1535586376.0,-2.08,101.38,66.22,96.0,76.0,0.83
255,Caceres,CO,1535586377.0,5.53,-74.53,65.77,100.0,64.0,1.83
256,Laguna,MX,1535582580.0,27.52,-110.01,75.2,88.0,75.0,13.87
257,Santiago de Chuco,PE,1535586377.0,-8.15,-78.17,54.25,43.0,44.0,1.39
258,Mahajanga,MG,1535583600.0,-15.72,46.32,75.2,78.0,20.0,2.24
259,Deputatskiy,RU,1535586194.0,69.3,139.9,56.59,70.0,0.0,3.96
260,Waddan,LY,1535586378.0,29.16,16.14,73.24,67.0,0.0,10.11
261,Sinnamary,GF,1535586378.0,5.38,-52.96,81.7,97.0,12.0,13.24
262,Argelia,CO,1535583600.0,4.73,-76.12,72.52,78.0,40.0,9.17
263,Nybro,SE,1535583000.0,56.75,15.91,53.85,100.0,20.0,2.24
264,Tevaitoa,PF,1535586379.0,-16.78,-151.5,76.75,100.0,56.0,24.54
265,Wenling,CN,1535586380.0,28.38,121.38,79.45,100.0,92.0,18.28
266,Pitimbu,BR,1535583600.0,-7.47,-34.81,71.6,83.0,0.0,8.05
267,Lakes Entrance,AU,1535586030.0,-37.88,147.99,49.3,85.0,0.0,5.75
268,Mossendjo,CG,1535586380.0,-2.95,12.72,70.72,86.0,8.0,3.29
269,Tefe,BR,1535582700.0,-3.35,-64.71,80.6,88.0,20.0,3.36
270,Mbandaka,CD,1535586381.0,0.05,18.26,75.31,83.0,24.0,3.74
271,Soyo,AO,1535586381.0,-6.13,12.37,68.29,98.0,8.0,3.74
272,Longyearbyen,NO,1535583000.0,78.22,15.63,44.6,70.0,75.0,16.11
273,Pangnirtung,CA,1535586005.0,66.15,-65.72,38.05,98.0,92.0,2.39
274,Lerwick,GB,1535583000.0,60.15,-1.15,52.7,76.0,76.0,14.99
275,Port-Cartier,CA,1535583600.0,50.03,-66.88,57.2,82.0,90.0,4.7
276,Ajdabiya,LY,1535586083.0,30.75,20.22,77.47,56.0,0.0,10.56
277,Stamford,US,1535583360.0,41.05,-73.54,86.77,51.0,20.0,4.7
